学校,年份,省份,科别,专业,最低分\位次,贡献者
天津理工大学,2019,北京,理工,管理科学与工程类,523,张致宁
天津理工大学,2018,北京,理工,管理科学与工程类,525,张致宁
天津理工大学,2017,北京,理工,管理科学与工程类,520,张致宁
天津理工大学,2019,北京,理工,机械类,522,张致宁
天津理工大学,2018,北京,理工,机械类,516,张致宁
天津理工大学,2017,北京,理工,机械类,516,张致宁
天津理工大学,2019,北京,理工,环境工程,521,张致宁
天津理工大学,2018,北京,理工,环境工程,518,张致宁
天津理工大学,2017,北京,理工,环境工程,519,张致宁
天津理工大学,2019,北京,理工,安全工程,521,张致宁
天津理工大学,2018,北京,理工,安全工程,519,张致宁
天津理工大学,2017,北京,理工,安全工程,517,张致宁
天津理工大学,2019,北京,理工,日语,527,张致宁
天津理工大学,2018,北京,理工,日语,516,张致宁
天津理工大学,2017,北京,理工,日语,515,张致宁
天津理工大学,2019,天津,理工,计算机科学与技术,558,张致宁
天津理工大学,2018,天津,理工,计算机科学与技术,573/9231,张致宁
天津理工大学,2017,天津,理工,计算机科学与技术,561,张致宁
天津理工大学,2019,天津,理工,信息安全,551,张致宁
天津理工大学,2018,天津,理工,信息安全,560/10885,张致宁
天津理工大学,2017,天津,理工,信息安全,550,张致宁
天津理工大学,2019,天津,理工,通信工程,536,张致宁
天津理工大学,2018,天津,理工,通信工程,533/14429,张致宁
天津理工大学,2017,天津,理工,通信工程,535,张致宁
天津理工大学,2019,天津,理工,电子信息工程,538,张致宁
天津理工大学,2018,天津,理工,电子信息工程,540/13487,张致宁
天津理工大学,2017,天津,理工,电子信息工程,538,张致宁
天津理工大学,2019,天津,理工,材料成型及控制工程,532,张致宁
天津理工大学,2018,天津,理工,材料成型及控制工程,512/17222,张致宁
天津理工大学,2017,天津,理工,材料成型及控制工程,510,张致宁
天津理工大学,2019,天津,理工,电气工程及其自动化,535,张致宁
天津理工大学,2018,天津,理工,电气工程及其自动化,537/13893,张致宁
天津理工大学,2017,天津,理工,电气工程及其自动化,538,张致宁
天津理工大学,2019,天津,理工,自动化,532,张致宁
天津理工大学,2018,天津,理工,自动化,527/15234,张致宁
天津理工大学,2017,天津,理工,自动化,530,张致宁
天津理工大学,2019,天津,理工,信息管理与信息系统,541,张致宁
天津理工大学,2018,天津,理工,信息管理与信息系统,542/13203,张致宁
天津理工大学,2017,天津,理工,信息管理与信息系统,536,张致宁
天津理工大学,2019,天津,理工,制药工程,532,张致宁
天津理工大学,2018,天津,理工,制药工程,517/16547,张致宁
天津理工大学,2017,天津,理工,制药工程,519,张致宁
天津理工大学,2019,天津,理工,机械电子工程,532,张致宁
天津理工大学,2018,天津,理工,机械电子工程,519/16281,张致宁
天津理工大学,2017,天津,理工,机械电子工程,525,张致宁
天津理工大学,2019,天津,理工,新能源材料与器件,540,张致宁
天津理工大学,2018,天津,理工,新能源材料与器件,526/15363,张致宁
天津理工大学,2017,天津,理工,新能源材料与器件,525,张致宁
天津理工大学,2019,天津,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2018,天津,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2017,天津,理工,数据科学与大数据技术,540,张致宁
天津理工大学,2019,天津,理工,物联网工程,499,张致宁
天津理工大学,2018,天津,理工,物联网工程,537/13893,张致宁
天津理工大学,2017,天津,理工,物联网工程,541,张致宁
天津理工大学,2019,天津,理工,集成电路设计与集成系统,495,张致宁
天津理工大学,2018,天津,理工,集成电路设计与集成系统,521/16007,张致宁
天津理工大学,2017,天津,理工,集成电路设计与集成系统,521,张致宁
天津理工大学,2019,天津,理工,电子信息类,490,张致宁
天津理工大学,2018,天津,理工,电子信息类,0,张致宁
天津理工大学,2017,天津,理工,电子信息类,0,张致宁
天津理工大学,2019,天津,理工,电子科学与技术,0,张致宁
天津理工大学,2018,天津,理工,电子科学与技术,527/15234,张致宁
天津理工大学,2017,天津,理工,电子科学与技术,528,张致宁
天津理工大学,2019,天津,理工,电波传播与天线,0,张致宁
天津理工大学,2018,天津,理工,电波传播与天线,518/16401,张致宁
天津理工大学,2017,天津,理工,电波传播与天线,509,张致宁
天津理工大学,2019,天津,理工,光电信息科学与工程,0,张致宁
天津理工大学,2018,天津,理工,光电信息科学与工程,518/16401,张致宁
天津理工大学,2017,天津,理工,光电信息科学与工程,521,张致宁
天津理工大学,2019,天津,理工,微电子科学与工程,0,张致宁
天津理工大学,2018,天津,理工,微电子科学与工程,513/17080,张致宁
天津理工大学,2017,天津,理工,微电子科学与工程,519,张致宁
天津理工大学,2019,天津,理工,材料类,487,张致宁
天津理工大学,2018,天津,理工,材料类,0,张致宁
天津理工大学,2017,天津,理工,材料类,0,张致宁
天津理工大学,2019,天津,理工,功能材料,0,张致宁
天津理工大学,2018,天津,理工,功能材料,514/16941,张致宁
天津理工大学,2017,天津,理工,功能材料,508+108,张致宁
天津理工大学,2019,天津,理工,材料科学与工程,0,张致宁
天津理工大学,2018,天津,理工,材料科学与工程,512/17222,张致宁
天津理工大学,2017,天津,理工,材料科学与工程,511,张致宁
天津理工大学,2019,天津,理工,材料物理,0,张致宁
天津理工大学,2018,天津,理工,材料物理,512/17222,张致宁
天津理工大学,2017,天津,理工,材料物理,509,张致宁
天津理工大学,2019,天津,理工,测控技术与仪器,494,张致宁
天津理工大学,2018,天津,理工,测控技术与仪器,519/16281,张致宁
天津理工大学,2017,天津,理工,测控技术与仪器,518,张致宁
天津理工大学,2019,天津,理工,能源动力类,490,张致宁
天津理工大学,2018,天津,理工,能源动力类,520/16146,张致宁
天津理工大学,2017,天津,理工,能源动力类,516,张致宁
天津理工大学,2019,天津,理工,工商管理类,494,张致宁
天津理工大学,2018,天津,理工,工商管理类,523/15750,张致宁
天津理工大学,2017,天津,理工,工商管理类,523,张致宁
天津理工大学,2019,天津,理工,管理科学与工程类,498,张致宁
天津理工大学,2018,天津,理工,管理科学与工程类,524/15639,张致宁
天津理工大学,2017,天津,理工,管理科学与工程类,527,张致宁
天津理工大学,2019,天津,理工,物流管理与工程类,490,张致宁
天津理工大学,2018,天津,理工,物流管理与工程类,520/16146,张致宁
天津理工大学,2017,天津,理工,物流管理与工程类,516,张致宁
天津理工大学,2019,天津,理工,工业工程类,489,张致宁
天津理工大学,2018,天津,理工,工业工程类,518/16401,张致宁
天津理工大学,2017,天津,理工,工业工程类,515,张致宁
天津理工大学,2019,天津,理工,保险学,489,张致宁
天津理工大学,2018,天津,理工,保险学,513/17080,张致宁
天津理工大学,2017,天津,理工,保险学,509,张致宁
天津理工大学,2019,天津,理工,化学工程与工艺,485,张致宁
天津理工大学,2018,天津,理工,化学工程与工艺,512/17222,张致宁
天津理工大学,2017,天津,理工,化学工程与工艺,509,张致宁
天津理工大学,2019,天津,理工,药学,489,张致宁
天津理工大学,2018,天津,理工,药学,514/16941,张致宁
天津理工大学,2017,天津,理工,药学,513,张致宁
天津理工大学,2019,天津,理工,应用化学,485,张致宁
天津理工大学,2018,天津,理工,应用化学,511/17351,张致宁
天津理工大学,2017,天津,理工,应用化学,509,张致宁
天津理工大学,2019,天津,理工,机械类,490,张致宁
天津理工大学,2018,天津,理工,机械类,522/15879,张致宁
天津理工大学,2017,天津,理工,机械类,521,张致宁
天津理工大学,2019,天津,理工,过程装备与控制工程,485,张致宁
天津理工大学,2018,天津,理工,过程装备与控制工程,511/17351,张致宁
天津理工大学,2017,天津,理工,过程装备与控制工程,509,张致宁
天津理工大学,2019,天津,理工,机器人工程,0,张致宁
天津理工大学,2018,天津,理工,机器人工程,538/13755,张致宁
天津理工大学,2017,天津,理工,机器人工程,534,张致宁
天津理工大学,2019,天津,理工,安全工程,490,张致宁
天津理工大学,2018,天津,理工,安全工程,519/16281,张致宁
天津理工大学,2017,天津,理工,安全工程,514,张致宁
天津理工大学,2019,天津,理工,环境科学,493,张致宁
天津理工大学,2018,天津,理工,环境科学,517/16547,张致宁
天津理工大学,2017,天津,理工,环境科学,516,张致宁
天津理工大学,2019,天津,理工,环境工程,495,张致宁
天津理工大学,2018,天津,理工,环境工程,522/15879,张致宁
天津理工大学,2017,天津,理工,环境工程,520,张致宁
天津理工大学,2019,天津,理工,资源循环科学与工程,488,张致宁
天津理工大学,2018,天津,理工,资源循环科学与工程,511/17351,张致宁
天津理工大学,2017,天津,理工,资源循环科学与工程,510,张致宁
天津理工大学,2019,天津,理工,自然地理与资源环境,485,张致宁
天津理工大学,2018,天津,理工,自然地理与资源环境,512/17222,张致宁
天津理工大学,2017,天津,理工,自然地理与资源环境,508,张致宁
天津理工大学,2019,天津,理工,英语,495,张致宁
天津理工大学,2018,天津,理工,英语,522/15879,张致宁
天津理工大学,2017,天津,理工,英语,520,张致宁
天津理工大学,2019,天津,理工,日语,487,张致宁
天津理工大学,2018,天津,理工,日语,511/17351,张致宁
天津理工大学,2017,天津,理工,日语,509,张致宁
天津理工大学,2019,天津,理工,软件工程,491,张致宁
天津理工大学,2018,天津,理工,软件工程,526/15363,张致宁
天津理工大学,2017,天津,理工,软件工程,528,张致宁
天津理工大学,2019,天津,理工,社会工作,497,张致宁
天津理工大学,2018,天津,理工,社会工作,521/16007,张致宁
天津理工大学,2017,天津,理工,社会工作,518,张致宁
天津理工大学,2019,天津,理工,数学与应用数学,499,张致宁
天津理工大学,2018,天津,理工,数学与应用数学,529/14947,张致宁
天津理工大学,2017,天津,理工,数学与应用数学,530,张致宁
天津理工大学,2019,天津,理工,应用物理学,485,张致宁
天津理工大学,2018,天津,理工,应用物理学,512/17222,张致宁
天津理工大学,2017,天津,理工,应用物理学,509,张致宁
天津理工大学,2019,天津,理工,航海技术,445,张致宁
天津理工大学,2018,天津,理工,航海技术,457/24655,张致宁
天津理工大学,2017,天津,理工,航海技术,411,张致宁
天津理工大学,2019,天津,理工,轮机工程,452,张致宁
天津理工大学,2018,天津,理工,轮机工程,462/23946,张致宁
天津理工大学,2017,天津,理工,轮机工程,449,张致宁
天津理工大学,2019,天津,理工,船舶电子电气工程,462,张致宁
天津理工大学,2018,天津,理工,船舶电子电气工程,471/22737,张致宁
天津理工大学,2017,天津,理工,船舶电子电气工程,479,张致宁
天津理工大学,2019,天津,理工,计算机科学与技术(中外合作办学),468,张致宁
天津理工大学,2018,天津,理工,计算机科学与技术(中外合作办学),500/18815,张致宁
天津理工大学,2017,天津,理工,计算机科学与技术(中外合作办学),503,张致宁
天津理工大学,2019,天津,理工,工商管理(中外合作办学),471,张致宁
天津理工大学,2018,天津,理工,工商管理(中外合作办学),497/19231,张致宁
天津理工大学,2017,天津,理工,工商管理(中外合作办学),497,张致宁
天津理工大学,2019,天津,理工,工业工程（中外合作办学),468,张致宁
天津理工大学,2018,天津,理工,工业工程（中外合作办学),498/19101,张致宁
天津理工大学,2017,天津,理工,工业工程（中外合作办学),497,张致宁
天津理工大学,2019,天津,理工,电子信息工程（通信技术方向联合培养）,447,张致宁
天津理工大学,2018,天津,理工,电子信息工程（通信技术方向联合培养）,469/22984,张致宁
天津理工大学,2017,天津,理工,电子信息工程（通信技术方向联合培养）,465,张致宁
天津理工大学,2019,天津,理工,化学工程与工艺（联合培养）,436,张致宁
天津理工大学,2018,天津,理工,化学工程与工艺（联合培养）,448/25778,张致宁
天津理工大学,2017,天津,理工,化学工程与工艺（联合培养）,448,张致宁
天津理工大学,2019,天津,理工,社会工作（老年福祉与管理联合培养）,0,张致宁
天津理工大学,2018,天津,理工,社会工作（老年福祉与管理联合培养）,0,张致宁
天津理工大学,2017,天津,理工,社会工作（老年福祉与管理联合培养）,455,张致宁
天津理工大学,2019,天津,文史,英语,501,张致宁
天津理工大学,2018,天津,文史,英语,527/4814,张致宁
天津理工大学,2017,天津,文史,英语,504,张致宁
天津理工大学,2019,天津,文史,日语,498,张致宁
天津理工大学,2018,天津,文史,日语,525/4936,张致宁
天津理工大学,2017,天津,文史,日语,501,张致宁
天津理工大学,2019,天津,文史,社会工作,501,张致宁
天津理工大学,2018,天津,文史,社会工作,527/4814,张致宁
天津理工大学,2017,天津,文史,社会工作,502,张致宁
天津理工大学,2019,天津,文史,社会学,499,张致宁
天津理工大学,2018,天津,文史,社会学,526/4874,张致宁
天津理工大学,2017,天津,文史,社会学,501,张致宁
天津理工大学,2019,天津,文史,汉语言文学,504,张致宁
天津理工大学,2018,天津,文史,汉语言文学,534/4408,张致宁
天津理工大学,2017,天津,文史,汉语言文学,510,张致宁
天津理工大学,2019,天津,文史,工商管理(中外合作办学),484,张致宁
天津理工大学,2018,天津,文史,工商管理(中外合作办学),516/5454,张致宁
天津理工大学,2017,天津,文史,工商管理(中外合作办学),494,张致宁
天津理工大学,2019,天津,文史,工业工程(中外合作办学),486,张致宁
天津理工大学,2018,天津,文史,工业工程(中外合作办学),513/5619,张致宁
天津理工大学,2017,天津,文史,工业工程(中外合作办学),491,张致宁
天津理工大学,2019,天津,文史,社会工作（老年福祉与管理联合培养）,0,张致宁
天津理工大学,2018,天津,文史,社会工作（老年福祉与管理联合培养）,0,张致宁
天津理工大学,2017,天津,文史,社会工作（老年福祉与管理联合培养）,485,张致宁
天津理工大学,2019,河北,理工,计算机科学与技术,567,张致宁
天津理工大学,2018,河北,理工,计算机科学与技术,601,张致宁
天津理工大学,2017,河北,理工,计算机科学与技术,589,张致宁
天津理工大学,2019,辽宁,理工,计算机科学与技术,566,张致宁
天津理工大学,2018,辽宁,理工,计算机科学与技术,602,张致宁
天津理工大学,2017,辽宁,理工,计算机科学与技术,594,张致宁
天津理工大学,2019,辽宁,理工,信息安全,562,张致宁
天津理工大学,2018,辽宁,理工,信息安全,596,张致宁
天津理工大学,2017,辽宁,理工,信息安全,588,张致宁
天津理工大学,2019,辽宁,理工,通信工程,565,张致宁
天津理工大学,2018,辽宁,理工,通信工程,598,张致宁
天津理工大学,2017,辽宁,理工,通信工程,589,张致宁
天津理工大学,2019,辽宁,理工,电子信息工程,564,张致宁
天津理工大学,2018,辽宁,理工,电子信息工程,596,张致宁
天津理工大学,2017,辽宁,理工,电子信息工程,589,张致宁
天津理工大学,2019,辽宁,理工,材料成型及控制工程,558,张致宁
天津理工大学,2018,辽宁,理工,材料成型及控制工程,595,张致宁
天津理工大学,2017,辽宁,理工,材料成型及控制工程,587,张致宁
天津理工大学,2019,辽宁,理工,电气工程及其自动化,567,张致宁
天津理工大学,2018,辽宁,理工,电气工程及其自动化,598,张致宁
天津理工大学,2017,辽宁,理工,电气工程及其自动化,593,张致宁
天津理工大学,2019,辽宁,理工,自动化,563,张致宁
天津理工大学,2018,辽宁,理工,自动化,597,张致宁
天津理工大学,2017,辽宁,理工,自动化,592,张致宁
天津理工大学,2019,辽宁,理工,信息管理与信息系统,560,张致宁
天津理工大学,2018,辽宁,理工,信息管理与信息系统,595,张致宁
天津理工大学,2017,辽宁,理工,信息管理与信息系统,589,张致宁
天津理工大学,2019,辽宁,理工,制药工程,557,张致宁
天津理工大学,2018,辽宁,理工,制药工程,594,张致宁
天津理工大学,2017,辽宁,理工,制药工程,586,张致宁
天津理工大学,2019,辽宁,理工,机械电子工程,558,张致宁
天津理工大学,2018,辽宁,理工,机械电子工程,595,张致宁
天津理工大学,2017,辽宁,理工,机械电子工程,586,张致宁
天津理工大学,2019,辽宁,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2018,辽宁,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2017,辽宁,理工,数据科学与大数据技术,591,张致宁
天津理工大学,2019,辽宁,理工,集成电路设计与集成系统,562,张致宁
天津理工大学,2018,辽宁,理工,集成电路设计与集成系统,595,张致宁
天津理工大学,2017,辽宁,理工,集成电路设计与集成系统,591,张致宁
天津理工大学,2019,辽宁,理工,能源动力类,558,张致宁
天津理工大学,2018,辽宁,理工,能源动力类,595,张致宁
天津理工大学,2017,辽宁,理工,能源动力类,586,张致宁
天津理工大学,2019,辽宁,理工,计算机科学与技术(中外合作办学),491,张致宁
天津理工大学,2018,辽宁,理工,计算机科学与技术(中外合作办学),545,张致宁
天津理工大学,2017,辽宁,理工,计算机科学与技术(中外合作办学),555,张致宁
天津理工大学,2019,辽宁,理工,工商管理(中外合作办学),499,张致宁
天津理工大学,2018,辽宁,理工,工商管理(中外合作办学),543,张致宁
天津理工大学,2017,辽宁,理工,工商管理(中外合作办学),549,张致宁
天津理工大学,2019,辽宁,理工,工业工程（中外合作办学),407,张致宁
天津理工大学,2018,辽宁,理工,工业工程（中外合作办学),541,张致宁
天津理工大学,2017,辽宁,理工,工业工程（中外合作办学),551,张致宁
天津理工大学,2019,吉林,理工,集成电路设计与集成系统,501,张致宁
天津理工大学,2018,吉林,理工,集成电路设计与集成系统,531,张致宁
天津理工大学,2017,吉林,理工,集成电路设计与集成系统,532,张致宁
天津理工大学,2019,吉林,理工,电子信息类,504,张致宁
天津理工大学,2018,吉林,理工,电子信息类,0,张致宁
天津理工大学,2017,吉林,理工,电子信息类,0,张致宁
天津理工大学,2019,吉林,理工,电波传播与天线,0,张致宁
天津理工大学,2018,吉林,理工,电波传播与天线,528,张致宁
天津理工大学,2017,吉林,理工,电波传播与天线,528,张致宁
天津理工大学,2019,吉林,理工,电子科学与技术,0,张致宁
天津理工大学,2018,吉林,理工,电子科学与技术,536,张致宁
天津理工大学,2017,吉林,理工,电子科学与技术,540,张致宁
天津理工大学,2019,吉林,理工,微电子科学与技术,0,张致宁
天津理工大学,2018,吉林,理工,微电子科学与技术,528,张致宁
天津理工大学,2017,吉林,理工,微电子科学与技术,536,张致宁
天津理工大学,2019,吉林,理工,光电信息科学与工程,0,张致宁
天津理工大学,2018,吉林,理工,光电信息科学与工程,532,张致宁
天津理工大学,2017,吉林,理工,光电信息科学与工程,535,张致宁
天津理工大学,2019,吉林,理工,材料类,503,张致宁
天津理工大学,2018,吉林,理工,材料类,0,张致宁
天津理工大学,2017,吉林,理工,材料类,0,张致宁
天津理工大学,2019,吉林,理工,材料科学与工程,0,张致宁
天津理工大学,2018,吉林,理工,材料科学与工程,534,张致宁
天津理工大学,2017,吉林,理工,材料科学与工程,527,张致宁
天津理工大学,2019,吉林,理工,材料物理,0,张致宁
天津理工大学,2018,吉林,理工,材料物理,529,张致宁
天津理工大学,2017,吉林,理工,材料物理,526,张致宁
天津理工大学,2019,吉林,理工,功能材料,0,张致宁
天津理工大学,2018,吉林,理工,功能材料,529,张致宁
天津理工大学,2017,吉林,理工,功能材料,528,张致宁
天津理工大学,2019,吉林,理工,测控技术与仪器,498,张致宁
天津理工大学,2018,吉林,理工,测控技术与仪器,530,张致宁
天津理工大学,2017,吉林,理工,测控技术与仪器,527,张致宁
天津理工大学,2019,吉林,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2018,吉林,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2017,吉林,理工,数据科学与大数据技术,542,张致宁
天津理工大学,2019,吉林,理工,物联网工程,500,张致宁
天津理工大学,2018,吉林,理工,物联网工程,536,张致宁
天津理工大学,2017,吉林,理工,物联网工程,540,张致宁
天津理工大学,2019,吉林,理工,能源动力类,504,张致宁
天津理工大学,2018,吉林,理工,能源动力类,532,张致宁
天津理工大学,2017,吉林,理工,能源动力类,530,张致宁
天津理工大学,2019,吉林,理工,工商管理类,509,张致宁
天津理工大学,2018,吉林,理工,工商管理类,535,张致宁
天津理工大学,2017,吉林,理工,工商管理类,527,张致宁
天津理工大学,2019,吉林,理工,管理科学与工程类,506,张致宁
天津理工大学,2018,吉林,理工,管理科学与工程类,538,张致宁
天津理工大学,2017,吉林,理工,管理科学与工程类,535,张致宁
天津理工大学,2019,吉林,理工,工业工程类,499,张致宁
天津理工大学,2018,吉林,理工,工业工程类,528,张致宁
天津理工大学,2017,吉林,理工,工业工程类,527,张致宁
天津理工大学,2019,吉林,理工,物流管理与工程类,506,张致宁
天津理工大学,2018,吉林,理工,物流管理与工程类,531,张致宁
天津理工大学,2017,吉林,理工,物流管理与工程类,525-,张致宁
天津理工大学,2019,吉林,理工,化学工程与工艺,494,张致宁
天津理工大学,2018,吉林,理工,化学工程与工艺,524,张致宁
天津理工大学,2017,吉林,理工,化学工程与工艺,525,张致宁
天津理工大学,2019,吉林,理工,药学,498,张致宁
天津理工大学,2018,吉林,理工,药学,523,张致宁
天津理工大学,2017,吉林,理工,药学,525,张致宁
天津理工大学,2019,吉林,理工,应用化学,499,张致宁
天津理工大学,2018,吉林,理工,应用化学,526,张致宁
天津理工大学,2017,吉林,理工,应用化学,527,张致宁
天津理工大学,2019,吉林,理工,机械类,500,张致宁
天津理工大学,2018,吉林,理工,机械类,532,张致宁
天津理工大学,2017,吉林,理工,机械类,530,张致宁
天津理工大学,2019,吉林,理工,过程装备与控制工程,499,张致宁
天津理工大学,2018,吉林,理工,过程装备与控制工程,528,张致宁
天津理工大学,2017,吉林,理工,过程装备与控制工程,525,张致宁
天津理工大学,2019,吉林,理工,机器人工程,0,张致宁
天津理工大学,2018,吉林,理工,机器人工程,535,张致宁
天津理工大学,2017,吉林,理工,机器人工程,532,张致宁
天津理工大学,2019,吉林,理工,环境科学,496,张致宁
天津理工大学,2018,吉林,理工,环境科学,523,张致宁
天津理工大学,2017,吉林,理工,环境科学,525,张致宁
天津理工大学,2019,吉林,理工,环境工程,503,张致宁
天津理工大学,2018,吉林,理工,环境工程,524,张致宁
天津理工大学,2017,吉林,理工,环境工程,528,张致宁
天津理工大学,2019,吉林,理工,数学与应用数学,504,张致宁
天津理工大学,2018,吉林,理工,数学与应用数学,530,张致宁
天津理工大学,2017,吉林,理工,数学与应用数学,528,张致宁
天津理工大学,2019,吉林,理工,计算机科学与技术(中外合作办学),473,张致宁
天津理工大学,2018,吉林,理工,计算机科学与技术(中外合作办学),518,张致宁
天津理工大学,2017,吉林,理工,计算机科学与技术(中外合作办学),523,张致宁
天津理工大学,2019,吉林,理工,工商管理(中外合作办学),461,张致宁
天津理工大学,2018,吉林,理工,工商管理(中外合作办学),516,张致宁
天津理工大学,2017,吉林,理工,工商管理(中外合作办学),522,张致宁
天津理工大学,2019,吉林,理工,工业工程（中外合作办学),437,张致宁
天津理工大学,2018,吉林,理工,工业工程（中外合作办学),516,张致宁
天津理工大学,2017,吉林,理工,工业工程（中外合作办学),521,张致宁
天津理工大学,2019,黑龙江,理工,计算机科学与技术,540,张致宁
天津理工大学,2018,黑龙江,理工,计算机科学与技术,571,张致宁
天津理工大学,2017,黑龙江,理工,计算机科学与技术,577,张致宁
天津理工大学,2019,黑龙江,理工,信息安全,535,张致宁
天津理工大学,2018,黑龙江,理工,信息安全,565,张致宁
天津理工大学,2017,黑龙江,理工,信息安全,571,张致宁
天津理工大学,2019,黑龙江,理工,通信工程,538,张致宁
天津理工大学,2018,黑龙江,理工,通信工程,568,张致宁
天津理工大学,2017,黑龙江,理工,通信工程,573,张致宁
天津理工大学,2019,黑龙江,理工,电子信息工程,539,张致宁
天津理工大学,2018,黑龙江,理工,电子信息工程,567,张致宁
天津理工大学,2017,黑龙江,理工,电子信息工程,573,张致宁
天津理工大学,2019,黑龙江,理工,材料成型及控制工程,537,张致宁
天津理工大学,2018,黑龙江,理工,材料成型及控制工程,565,张致宁
天津理工大学,2017,黑龙江,理工,材料成型及控制工程,570,张致宁
天津理工大学,2019,黑龙江,理工,电气工程及其自动化,539,张致宁
天津理工大学,2018,黑龙江,理工,电气工程及其自动化,567,张致宁
天津理工大学,2017,黑龙江,理工,电气工程及其自动化,571,张致宁
天津理工大学,2019,黑龙江,理工,自动化,538,张致宁
天津理工大学,2018,黑龙江,理工,自动化,569,张致宁
天津理工大学,2017,黑龙江,理工,自动化,571,张致宁
天津理工大学,2019,黑龙江,理工,信息管理与信息系统,535,张致宁
天津理工大学,2018,黑龙江,理工,信息管理与信息系统,564,张致宁
天津理工大学,2017,黑龙江,理工,信息管理与信息系统,572,张致宁
天津理工大学,2019,黑龙江,理工,制药工程,536,张致宁
天津理工大学,2018,黑龙江,理工,制药工程,564,张致宁
天津理工大学,2017,黑龙江,理工,制药工程,570,张致宁
天津理工大学,2019,黑龙江,理工,机械电子工程,538,张致宁
天津理工大学,2018,黑龙江,理工,机械电子工程,566,张致宁
天津理工大学,2017,黑龙江,理工,机械电子工程,570,张致宁
天津理工大学,2019,黑龙江,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2018,黑龙江,理工,数据科学与大数据技术,0,张致宁
天津理工大学,2017,黑龙江,理工,数据科学与大数据技术,573,张致宁
天津理工大学,2019,黑龙江,理工,集成电路设计与集成系统,497,张致宁
天津理工大学,2018,黑龙江,理工,集成电路设计与集成系统,565,张致宁
天津理工大学,2017,黑龙江,理工,集成电路设计与集成系统,570,张致宁
天津理工大学,2019,黑龙江,理工,电子信息类,499,张致宁
天津理工大学,2018,黑龙江,理工,电子信息类,0,张致宁
天津理工大学,2017,黑龙江,理工,电子信息类,0,张致宁
天津理工大学,2019,黑龙江,理工,电波传播与天线,0,张致宁
天津理工大学,2018,黑龙江,理工,电波传播与天线,527,张致宁
天津理工大学,2017,黑龙江,理工,电波传播与天线,529,张致宁
天津理工大学,2019,黑龙江,理工,电子科学与技术,0,张致宁
天津理工大学,2018,黑龙江,理工,电子科学与技术,531,张致宁
天津理工大学,2017,黑龙江,理工,电子科学与技术,555,张致宁
天津理工大学,2019,黑龙江,理工,微电子科学与工程,0,张致宁
天津理工大学,2018,黑龙江,理工,微电子科学与工程,531,张致宁
天津理工大学,2017,黑龙江,理工,微电子科学与工程,548,张致宁
天津理工大学,2019,黑龙江,理工,光电信息科学与工程,0,张致宁
天津理工大学,2018,黑龙江,理工,光电信息科学与工程,529,张致宁
天津理工大学,2017,黑龙江,理工,光电信息科学与工程,545,张致宁
天津理工大学,2019,黑龙江,理工,材料类,499,张致宁
天津理工大学,2018,黑龙江,理工,材料类,0,张致宁
天津理工大学,2017,黑龙江,理工,材料类,0,张致宁
天津理工大学,2019,黑龙江,理工,材料物理,0,张致宁
天津理工大学,2018,黑龙江,理工,材料物理,528,张致宁
天津理工大学,2017,黑龙江,理工,材料物理,530,张致宁
天津理工大学,2019,黑龙江,理工,新能源材料与器件,492,张致宁
天津理工大学,2018,黑龙江,理工,新能源材料与器件,532,张致宁
天津理工大学,2017,黑龙江,理工,新能源材料与器件,538,张致宁
天津理工大学,2019,黑龙江,理工,能源动力类,496,张致宁
天津理工大学,2018,黑龙江,理工,能源动力类,565,张致宁
天津理工大学,2017,黑龙江,理工,能源动力类,570,张致宁
天津理工大学,2019,黑龙江,理工,化学工程与工艺,491,张致宁
天津理工大学,2018,黑龙江,理工,化学工程与工艺,523,张致宁
天津理工大学,2017,黑龙江,理工,化学工程与工艺,531,张致宁
天津理工大学,2019,黑龙江,理工,药学,498,张致宁
天津理工大学,2018,黑龙江,理工,药学,522,张致宁
天津理工大学,2017,黑龙江,理工,药学,521,张致宁
天津理工大学,2019,黑龙江,理工,应用化学,494,张致宁
天津理工大学,2018,黑龙江,理工,应用化学,523,张致宁
天津理工大学,2017,黑龙江,理工,应用化学,520,张致宁
天津理工大学,2019,黑龙江,理工,环境工程,494,张致宁
天津理工大学,2018,黑龙江,理工,环境工程,527,张致宁
天津理工大学,2017,黑龙江,理工,环境工程,533,张致宁
天津理工大学,2019,黑龙江,理工,环境科学,493,张致宁
天津理工大学,2018,黑龙江,理工,环境科学,524,张致宁
天津理工大学,2017,黑龙江,理工,环境科学,523,张致宁
天津理工大学,2019,黑龙江,理工,资源循环科学与工程,491,张致宁
天津理工大学,2018,黑龙江,理工,资源循环科学与工程,522,张致宁
天津理工大学,2017,黑龙江,理工,资源循环科学与工程,522,张致宁
天津理工大学,2019,黑龙江,理工,物联网工程,502,张致宁
天津理工大学,2018,黑龙江,理工,物联网工程,531,张致宁
天津理工大学,2017,黑龙江,理工,物联网工程,548,张致宁
天津理工大学,2019,黑龙江,理工,计算机科学与技术(中外合作办学),431,张致宁
